session_id,config_target,request_number,attempt_number,request_id,strategy,timestamp,server_port,success,latency_ms,request_complete,request_success
2026-01-21_07-20-33,T2,1,1,sb7h5sGVHoCQLk8U5fLyhEWS,v1,1768998092.6567008,5004,False,2.3446250706911087,False,False
2026-01-21_07-20-33,T2,1,2,sb7h5sGVHoCQLk8U5fLyhEWS,v1,1768998092.677917,5008,True,1.5532920369878411,True,True
2026-01-21_07-20-33,T2,2,1,sIljUwCB3JQwJQfzAAjbnWok,v1,1768998092.754281,5000,True,2.076749922707677,True,True
2026-01-21_07-20-33,T2,3,1,zQug1OYiSxkUW3SziX4lTote,v1,1768998092.855305,5001,True,1.964458031579852,True,True
2026-01-21_07-20-33,T2,4,1,ybPmChN8iptSyw2aDhV4s1sQ,v1,1768998092.956434,5002,True,1.8184169894084334,True,True
2026-01-21_07-20-33,T2,5,1,fN1OZCqU2G7djADopi7pE8Yw,v1,1768998093.057385,5003,False,2.2243339335545897,False,False
2026-01-21_07-20-33,T2,5,2,fN1OZCqU2G7djADopi7pE8Yw,v1,1768998093.0597079,5005,True,1.6810829984024167,True,True
2026-01-21_07-20-33,T2,6,1,7yYWUECprFsRrsLlj1WWIyV0,v1,1768998093.158428,5006,False,2.0327079109847546,False,False
2026-01-21_07-20-33,T2,6,2,7yYWUECprFsRrsLlj1WWIyV0,v1,1768998093.1605718,5007,True,1.7274999991059303,True,True
2026-01-21_07-20-33,T2,7,1,jpsv7JHfO1UfIc6eI08v9LhU,v1,1768998093.259445,5009,False,2.2100000642240047,False,False
2026-01-21_07-20-33,T2,7,2,jpsv7JHfO1UfIc6eI08v9LhU,v1,1768998093.2617621,5000,False,0.9346670703962445,False,False
2026-01-21_07-20-33,T2,7,3,jpsv7JHfO1UfIc6eI08v9LhU,v1,1768998093.262754,5001,True,0.8740839548408985,True,True
2026-01-21_07-20-33,T2,8,1,5XbifrXn4uXvezAiAnByqRLB,v1,1768998093.360467,5002,True,1.3321669539436698,True,True
2026-01-21_07-20-33,T2,9,1,5Tw612PNxd8QZy2vRVkx69ZN,v1,1768998093.461626,5003,True,2.4465840542688966,True,True
2026-01-21_07-20-33,T2,10,1,ipz5yOdpH9jgIFQArohCDbHL,v1,1768998093.5627031,5004,True,1.2602090137079358,True,True
2026-01-21_07-20-33,T2,11,1,oKXOwibVjOdNr791nlMI19Fi,v1,1768998093.663983,5005,False,1.5237500192597508,False,False
2026-01-21_07-20-33,T2,11,2,oKXOwibVjOdNr791nlMI19Fi,v1,1768998093.665622,5006,True,1.1349159758538008,True,True
2026-01-21_07-20-33,T2,12,1,mnXMY20MtDLvWifzreWuvSEG,v1,1768998093.764742,5007,True,1.429458032362163,True,True
2026-01-21_07-20-33,T2,13,1,Fpkxxeolm5sR5I6Rl3at005V,v1,1768998093.869874,5008,True,5.96745905932039,True,True
2026-01-21_07-20-33,T2,14,1,RTeM6FbMwQsRSzDNo9gj27gn,v1,1768998093.9829419,5009,True,93.49483298137784,True,True
2026-01-21_07-20-33,T2,15,1,AEajTnDuEDqwqkPfaKfvxqqZ,v1,1768998094.098516,5000,True,45.21658399607986,True,True
2026-01-21_07-20-33,T2,16,1,J3vWZE2YTiWWW3KlHCGvevlK,v1,1768998094.208309,5003,False,9.570833062753081,False,False
2026-01-21_07-20-33,T2,16,2,J3vWZE2YTiWWW3KlHCGvevlK,v1,1768998094.2179961,5004,True,2.277374966070056,True,True
2026-01-21_07-20-33,T2,17,1,GFYMjUHH0kwUYrWStGfi6f4K,v1,1768998094.2985358,5005,False,1.5445840544998646,False,False
2026-01-21_07-20-33,T2,17,2,GFYMjUHH0kwUYrWStGfi6f4K,v1,1768998094.300203,5006,False,1.2848329497501254,False,False
2026-01-21_07-20-33,T2,17,3,GFYMjUHH0kwUYrWStGfi6f4K,v1,1768998094.301558,5009,True,1.3896250165998936,True,True
