session_id,config_target,request_number,attempt_number,request_id,strategy,timestamp,server_port,success,latency_ms,request_complete,request_success
2026-01-21_07-20-33,T2,1,1,qU7yeXrnZpVZH1wIEpm8ShYa,v5,1768998139.289824,5002,True,2.9834170127287507,True,True
2026-01-21_07-20-33,T2,2,1,cPyZxuV8uY1fV7D4Rcmbyci8,v5,1768998139.386636,5009,False,1.7673749243840575,False,False
2026-01-21_07-20-33,T2,2,2,cPyZxuV8uY1fV7D4Rcmbyci8,v5,1768998139.3902452,5008,True,1.9479580223560333,True,True
2026-01-21_07-20-33,T2,3,1,5AtFhLhOhmb0I7f4qVgWTAqp,v5,1768998139.4871948,5006,True,1.655291998758912,True,True
2026-01-21_07-20-33,T2,4,1,mzthrgQnqBPAf72vY8IQp4ag,v5,1768998139.588276,5000,False,1.7908329609781504,False,False
2026-01-21_07-20-33,T2,4,2,mzthrgQnqBPAf72vY8IQp4ag,v5,1768998139.5902212,5002,True,0.8092089556157589,True,True
2026-01-21_07-20-33,T2,5,1,fUBPMIMKouO4xeVA5s89eS4v,v5,1768998139.689255,5003,False,1.903583062812686,False,False
2026-01-21_07-20-33,T2,5,2,fUBPMIMKouO4xeVA5s89eS4v,v5,1768998139.6913018,5007,True,1.704083988443017,True,True
2026-01-21_07-20-33,T2,6,1,TvrJg1KJpwpRCvqQ7y1nzuV8,v5,1768998139.790442,5005,True,1.9514999585226178,True,True
2026-01-21_07-20-33,T2,7,1,SiefoVbSFfxaFcUSuyBGdB8O,v5,1768998139.891673,5002,False,1.1247500078752637,False,False
2026-01-21_07-20-33,T2,7,2,SiefoVbSFfxaFcUSuyBGdB8O,v5,1768998139.892968,5006,True,0.7931659929454327,True,True
2026-01-21_07-20-33,T2,8,1,bvlHKIzT1kUaClpuX9UizRPp,v5,1768998139.992387,5001,True,1.9995420007035136,True,True
2026-01-21_07-20-33,T2,9,1,vwwjZcoHhbhysgHDJJwXbBRO,v5,1768998140.093408,5001,False,1.0705830063670874,False,False
2026-01-21_07-20-33,T2,9,2,vwwjZcoHhbhysgHDJJwXbBRO,v5,1768998140.094599,5007,False,0.961042009294033,False,False
