session_id,config_target,request_number,attempt_number,request_id,strategy,timestamp,server_port,success,latency_ms,request_complete,request_success
2026-01-21_07-20-33,T1,1,1,i4wKRZWhyDK0HKX40moL9DH5,v2,1768998046.234154,4004,False,2.5005839997902513,False,False
2026-01-21_07-20-33,T1,1,2,i4wKRZWhyDK0HKX40moL9DH5,v2,1768998046.256095,4000,True,1.5166669618338346,True,True
2026-01-21_07-20-33,T1,2,1,oFPISLOSpPh1VRfno4HtvFd5,v2,1768998046.3313448,4001,False,1.772125018760562,False,False
2026-01-21_07-20-33,T1,2,2,oFPISLOSpPh1VRfno4HtvFd5,v2,1768998046.333205,4002,True,1.454083016142249,True,True
2026-01-21_07-20-33,T1,3,1,NoUzl17ivVj1cuI7IdFLYyxq,v2,1768998046.4324281,4003,True,2.0337080350145698,True,True
2026-01-21_07-20-33,T1,4,1,VBi2o8H6GruHiL5ORS5jP7Gk,v2,1768998046.533756,4005,True,1.8667500698938966,True,True
2026-01-21_07-20-33,T1,5,1,wX48oGYhUUn6UQjdpucIxmGw,v2,1768998046.635555,4006,True,2.112917019985616,True,True
2026-01-21_07-20-33,T1,6,1,Nv3JYG78mbmLqIOUkndB8dHR,v2,1768998046.7362041,4007,False,6.572375074028969,False,False
2026-01-21_07-20-33,T1,6,2,Nv3JYG78mbmLqIOUkndB8dHR,v2,1768998046.742927,4008,False,2.1227910183370113,False,False
2026-01-21_07-20-33,T1,6,3,Nv3JYG78mbmLqIOUkndB8dHR,v2,1768998046.7451441,4009,True,1.7500410322099924,True,True
2026-01-21_07-20-33,T1,7,1,fwf2gFAKmL3AdinWjr5ev3nP,v2,1768998046.835917,4000,False,1.262041972950101,False,False
2026-01-21_07-20-33,T1,7,2,fwf2gFAKmL3AdinWjr5ev3nP,v2,1768998046.837277,4002,False,0.9094160050153732,False,False
2026-01-21_07-20-33,T1,7,3,fwf2gFAKmL3AdinWjr5ev3nP,v2,1768998046.838259,4003,True,0.8758330950513482,True,True
2026-01-21_07-20-33,T1,8,1,ptE4jUMDb5P9UQ1aU3pWhYtQ,v2,1768998046.937002,4005,True,1.1195000261068344,True,True
2026-01-21_07-20-33,T1,9,1,i79p0vMbJtHiCeKjSnlsNgHl,v2,1768998047.038363,4006,True,1.554999966174364,True,True
2026-01-21_07-20-33,T1,10,1,GvH5yw4HA4N96bNwkNWG5mOI,v2,1768998047.139277,4009,False,1.2085000053048134,False,False
2026-01-21_07-20-33,T1,10,2,GvH5yw4HA4N96bNwkNWG5mOI,v2,1768998047.1406138,4003,True,1.340333023108542,True,True
2026-01-21_07-20-33,T1,11,1,uldbJkHPkjAB0CG6XM3OFn3N,v2,1768998047.240001,4005,True,1.198665937408805,True,True
2026-01-21_07-20-33,T1,12,1,3Azfy2Gjd50s2jdhfbO2QODZ,v2,1768998047.3415449,4006,True,1.8235830357298255,True,True
