session_id,config_target,request_number,attempt_number,request_id,strategy,timestamp,server_port,success,latency_ms,request_complete,request_success
2026-01-21_07-20-33,T2,1,1,VTgWi5KtTaJTiajjCNi9sizT,v4,1768998127.672032,5009,True,2.559833927080035,True,True
2026-01-21_07-20-33,T2,2,1,n4ia4meOf03BtkHFKeVFLO1A,v4,1768998127.7684538,5009,True,0.8386659901589155,True,True
2026-01-21_07-20-33,T2,3,1,6QQQzSAKHQHEcK3Ukd33aXQH,v4,1768998127.869536,5007,False,1.8560830503702164,False,False
2026-01-21_07-20-33,T2,3,2,6QQQzSAKHQHEcK3Ukd33aXQH,v4,1768998127.871489,5006,True,1.7363750375807285,True,True
2026-01-21_07-20-33,T2,4,1,Ik9xKuYYn5NWx5nLEfd0KDDX,v4,1768998127.970173,5006,False,0.9632919682189822,False,False
2026-01-21_07-20-33,T2,4,2,Ik9xKuYYn5NWx5nLEfd0KDDX,v4,1768998127.9712489,5008,True,1.5181670896708965,True,True
2026-01-21_07-20-33,T2,5,1,g9dTPgVrXclfyy9seDtn6RCX,v4,1768998128.071423,5008,True,0.8453750051558018,True,True
2026-01-21_07-20-33,T2,6,1,kqLKDb0xhwdmtUY6MHMm9Yrp,v4,1768998128.1722162,5009,False,0.9009999921545386,False,False
2026-01-21_07-20-33,T2,6,2,kqLKDb0xhwdmtUY6MHMm9Yrp,v4,1768998128.1732328,5008,True,0.6707499269396067,True,True
2026-01-21_07-20-33,T2,7,1,xhvMUmqxoEEeOu99tjE8HlYr,v4,1768998128.273258,5009,False,0.9337089722976089,False,False
2026-01-21_07-20-33,T2,7,2,xhvMUmqxoEEeOu99tjE8HlYr,v4,1768998128.274334,5002,False,1.6807919600978494,False,False
2026-01-21_07-20-33,T2,7,3,xhvMUmqxoEEeOu99tjE8HlYr,v4,1768998128.2761111,5005,True,1.5153329586610198,True,True
2026-01-21_07-20-33,T2,8,1,KQbsi9paUribk0FXSR99zBmN,v4,1768998128.3743901,5008,True,0.9721249807626009,True,True
2026-01-21_07-20-33,T2,9,1,yLWtd7nVpZ6CHwslctSHKxng,v4,1768998128.474723,5008,True,0.9856250835582614,True,True
2026-01-21_07-20-33,T2,10,1,JT2ic4eiR6GCWYasYV6BgTBH,v4,1768998128.575902,5001,True,2.013667020946741,True,True
2026-01-21_07-20-33,T2,11,1,iYr7hGqJ6OpmoFr07l3iPVNu,v4,1768998128.677053,5001,True,1.5193329891189933,True,True
2026-01-21_07-20-33,T2,12,1,Z3kqZFWQqlwOnmWHCwvr439B,v4,1768998128.779201,5001,True,1.4518330572173,True,True
2026-01-21_07-20-33,T2,13,1,fsnSPOfeBgVV7hk8FR2XthIT,v4,1768998128.892243,5001,False,7.886457955464721,False,False
2026-01-21_07-20-33,T2,13,2,fsnSPOfeBgVV7hk8FR2XthIT,v4,1768998128.900279,5005,True,8.383083040826023,True,True
2026-01-21_07-20-33,T2,14,1,18Jud6tXFq2Cd0gwMaF3LGB4,v4,1768998128.98678,5000,True,2.501416951417923,True,True
2026-01-21_07-20-33,T2,15,1,7kshLSymGtu9arjrwGT59FMV,v4,1768998129.086764,5008,True,1.1157499393448234,True,True
2026-01-21_07-20-33,T2,16,1,nYju2ONoDYYnSNgJ9rteNz7H,v4,1768998129.187892,5005,True,1.1814170284196734,True,True
2026-01-21_07-20-33,T2,17,1,KOqPF0DNYaoaEW0VIa4svUVT,v4,1768998129.289013,5008,True,1.1222499888390303,True,True
2026-01-21_07-20-33,T2,18,1,7ZrVh1WpDrRqZOBElBTafArM,v4,1768998129.390027,5005,True,1.160500105470419,True,True
2026-01-21_07-20-33,T2,19,1,G1nkDODlzSuT8KFKoIkmqcQ6,v4,1768998129.492116,5004,False,2.0828749984502792,False,False
2026-01-21_07-20-33,T2,19,2,G1nkDODlzSuT8KFKoIkmqcQ6,v4,1768998129.494328,5000,True,1.2526659993454814,True,True
2026-01-21_07-20-33,T2,20,1,nkOn6okiyzude6HDcqnMCdAM,v4,1768998129.59973,5008,True,6.547999917529523,True,True
2026-01-21_07-20-33,T2,21,1,UQKZxgPwOefwmUaPkEQhUAW3,v4,1768998129.692202,5008,True,1.0048749390989542,True,True
2026-01-21_07-20-33,T2,22,1,XpoeySH4EQebtd1apvT4Ol6d,v4,1768998129.793217,5008,True,1.0847089579328895,True,True
2026-01-21_07-20-33,T2,23,1,9lCIz26JTFALyf5UH9sZnpiZ,v4,1768998129.894293,5000,False,1.1423330288380384,False,False
2026-01-21_07-20-33,T2,23,2,9lCIz26JTFALyf5UH9sZnpiZ,v4,1768998129.895554,5005,True,0.9312500478699803,True,True
2026-01-21_07-20-33,T2,24,1,1EWhkNxmzEnTgZRuCcPLNizg,v4,1768998129.9958122,5008,True,1.2113749980926514,True,True
2026-01-21_07-20-33,T2,25,1,M8DoUmRcg1czhNuyi1Of0bPN,v4,1768998130.096481,5001,False,1.1222080793231726,False,False
2026-01-21_07-20-33,T2,25,2,M8DoUmRcg1czhNuyi1Of0bPN,v4,1768998130.097715,5005,True,0.8765830425545573,True,True
2026-01-21_07-20-33,T2,26,1,yVZPw5kmomXaNGnjvwiTwUEm,v4,1768998130.1975832,5008,True,1.1274999706074595,True,True
2026-01-21_07-20-33,T2,27,1,Zq9u38o5U7UFyFopBiDLniMQ,v4,1768998130.298666,5008,True,1.1346250539645553,True,True
2026-01-21_07-20-33,T2,28,1,S5jq2d6pIfA8jORwALKhORQ3,v4,1768998130.399013,5008,True,1.7268339870497584,True,True
2026-01-21_07-20-33,T2,29,1,PrYmN7WXEeIiftuwIfB3ID07,v4,1768998130.499928,5005,True,1.0287920013070107,True,True
2026-01-21_07-20-33,T2,30,1,EDI7GQT3L9nRCpHu2LXMZyo7,v4,1768998130.6009002,5005,True,1.0991250164806843,True,True
2026-01-21_07-20-33,T2,31,1,e6mIuPJdB1B7KZhyqKGU3eOa,v4,1768998130.7019122,5008,True,0.9765410795807838,True,True
2026-01-21_07-20-33,T2,32,1,NMiFXYhXdBOdsn3mAPCtirtz,v4,1768998130.8029811,5008,True,1.1467080330476165,True,True
2026-01-21_07-20-33,T2,33,1,OsBKJLCSVVtYHX9PD8RJJsCy,v4,1768998130.904052,5005,True,1.0152918985113502,True,True
2026-01-21_07-20-33,T2,34,1,xPl896vi3rYyTXqlM9y8vEKi,v4,1768998131.0050912,5008,True,1.0903750080615282,True,True
2026-01-21_07-20-33,T2,35,1,ciuxJUXZhf57dPAHeHRZILcP,v4,1768998131.1052291,5005,True,1.063707983121276,True,True
2026-01-21_07-20-33,T2,36,1,NhT1hUCwn3gwCWeLtdcET81F,v4,1768998131.206763,5008,True,0.9659579955041409,True,True
2026-01-21_07-20-33,T2,37,1,z9n9lxeDnx45mMb7WYWMIxqp,v4,1768998131.3078132,5008,False,1.056667068041861,False,False
2026-01-21_07-20-33,T2,37,2,z9n9lxeDnx45mMb7WYWMIxqp,v4,1768998131.30901,5005,False,0.9892500238493085,False,False
2026-01-21_07-20-33,T2,37,3,z9n9lxeDnx45mMb7WYWMIxqp,v4,1768998131.3100832,5000,False,0.9318339871242642,False,False
2026-01-21_07-20-33,T2,37,4,z9n9lxeDnx45mMb7WYWMIxqp,v4,1768998131.311091,5008,False,0.9232499869540334,False,False
2026-01-21_07-20-33,T2,37,5,z9n9lxeDnx45mMb7WYWMIxqp,v4,1768998131.3120792,5005,False,0.8396250195801258,False,False
2026-01-21_07-20-33,T2,37,6,z9n9lxeDnx45mMb7WYWMIxqp,v4,1768998131.31297,5008,False,0.7867499953135848,True,False
2026-01-21_07-20-33,T2,38,1,JFAPE7guuIz6V28zwR7qtJ9H,v4,1768998131.408938,5008,True,1.0413330746814609,True,True
2026-01-21_07-20-33,T2,39,1,zftY9QHZ5kZWfoj8VH4EwZrY,v4,1768998131.509911,5005,False,1.0675829835236073,False,False
2026-01-21_07-20-33,T2,39,2,zftY9QHZ5kZWfoj8VH4EwZrY,v4,1768998131.5111492,5003,True,1.8959169974550605,True,True
2026-01-21_07-20-33,T2,40,1,lzS7H0nlM9vZv56RjNWD4AeP,v4,1768998131.610968,5008,True,1.0298750130459666,True,True
2026-01-21_07-20-33,T2,41,1,lHg1r3nR7j3trRQ41c33QKoM,v4,1768998131.71207,5001,False,1.0475409217178822,False,False
2026-01-21_07-20-33,T2,41,2,lHg1r3nR7j3trRQ41c33QKoM,v4,1768998131.7297359,5008,True,1.1732910061255097,True,True
2026-01-21_07-20-33,T2,42,1,IVzVKwFPA3wWl18b2AxsZ5Kz,v4,1768998131.8131268,5003,True,1.0634580394253135,True,True
2026-01-21_07-20-33,T2,43,1,lCHm6hdvtRNLlLDJV1LDONd5,v4,1768998131.914158,5003,True,1.0846250224858522,True,True
2026-01-21_07-20-33,T2,44,1,M3p2YUQLKDSKfiL2etnrzgIS,v4,1768998132.015312,5008,True,1.0465839877724648,True,True
2026-01-21_07-20-33,T2,45,1,Tzx7eQD2u9Rh8iNpuhtUIrvY,v4,1768998132.116276,5003,False,1.0979999788105488,False,False
2026-01-21_07-20-33,T2,45,2,Tzx7eQD2u9Rh8iNpuhtUIrvY,v4,1768998132.117492,5008,True,0.8263749768957496,True,True
2026-01-21_07-20-33,T2,46,1,T0KQDoaUxs69j5iAG8hU2rZo,v4,1768998132.217383,5006,True,1.1850419687107205,True,True
2026-01-21_07-20-33,T2,47,1,V6w7L81PrOMEZAWSvSzYbB64,v4,1768998132.318454,5002,True,1.3672501081600785,True,True
2026-01-21_07-20-33,T2,48,1,1LLRjZEjzldpaC6YtO5zeblr,v4,1768998132.419457,5005,True,1.1448749573901296,True,True
2026-01-21_07-20-33,T2,49,1,wv6CW64nK5L1t5oIEyUlqJe8,v4,1768998132.520576,5005,True,1.2886669719591737,True,True
2026-01-21_07-20-33,T2,50,1,0GHsjFwLXF3nlYXMRAYaQtF7,v4,1768998132.6253922,5005,False,5.021292017772794,False,False
2026-01-21_07-20-33,T2,50,2,0GHsjFwLXF3nlYXMRAYaQtF7,v4,1768998132.630547,5008,True,3.819582983851433,True,True
2026-01-21_07-20-33,T2,51,1,HFyB0eI08zyKkLVbFJWTVNf9,v4,1768998132.723448,5003,True,1.328249927610159,True,True
2026-01-21_07-20-33,T2,52,1,0TUSc8QTyyrkRO9GGsuvc7uA,v4,1768998132.824129,5000,False,1.121249981224537,False,False
2026-01-21_07-20-33,T2,52,2,0TUSc8QTyyrkRO9GGsuvc7uA,v4,1768998132.8253891,5008,False,0.8089580805972219,False,False
2026-01-21_07-20-33,T2,52,3,0TUSc8QTyyrkRO9GGsuvc7uA,v4,1768998132.8263192,5006,True,0.9790840558707714,True,True
2026-01-21_07-20-33,T2,53,1,PHYWigXKuutB9e10lhpB3dbS,v4,1768998132.924993,5008,True,1.197459059767425,True,True
2026-01-21_07-20-33,T2,54,1,MCCKiDhWeSmXWqJfzYZNvM6h,v4,1768998133.026019,5008,True,1.109083998017013,True,True
2026-01-21_07-20-33,T2,55,1,MDWtKDmDvzVNSXpGi3J0TzsS,v4,1768998133.127127,5008,True,1.0999999940395355,True,True
2026-01-21_07-20-33,T2,56,1,y5O9geliB59UZxc2syael7b6,v4,1768998133.2281249,5003,False,1.1066249571740627,False,False
2026-01-21_07-20-33,T2,56,2,y5O9geliB59UZxc2syael7b6,v4,1768998133.2294168,5008,True,0.9343329584226012,True,True
2026-01-21_07-20-33,T2,57,1,g3tfZbQuhnJ3hhnFT5n5260Y,v4,1768998133.329132,5002,True,1.0602499824017286,True,True
2026-01-21_07-20-33,T2,58,1,BuZh9KMeYGXIZeju1XFlNIsO,v4,1768998133.430109,5006,False,1.014249981380999,False,False
2026-01-21_07-20-33,T2,58,2,BuZh9KMeYGXIZeju1XFlNIsO,v4,1768998133.4312818,5001,False,0.777459004893899,False,False
2026-01-21_07-20-33,T2,58,3,BuZh9KMeYGXIZeju1XFlNIsO,v4,1768998133.432121,5002,True,0.8906250586733222,True,True
2026-01-21_07-20-33,T2,59,1,t1LUtskdzPBus2HyINq6cz7g,v4,1768998133.531414,5008,True,1.1262500192970037,True,True
2026-01-21_07-20-33,T2,60,1,pbex0I8UL9dNM9l9jl7XK8RZ,v4,1768998133.632533,5008,True,1.0574590414762497,True,True
2026-01-21_07-20-33,T2,61,1,haTs22SrXNisxTQmCoDRdAzm,v4,1768998133.7334101,5008,False,1.0188750457018614,False,False
2026-01-21_07-20-33,T2,61,2,haTs22SrXNisxTQmCoDRdAzm,v4,1768998133.7345622,5006,True,0.8290419355034828,True,True
2026-01-21_07-20-33,T2,62,1,wtDspYsvzOlv5QbS9KCfxTTJ,v4,1768998133.8342268,5006,True,1.1032079346477985,True,True
2026-01-21_07-20-33,T2,63,1,SVKJ36w09t4OgvKKgAV8kpRV,v4,1768998133.935023,5008,True,1.2299999361857772,True,True
2026-01-21_07-20-33,T2,64,1,GCfdSJqgFK6zRnKEPPReX74c,v4,1768998134.036088,5005,False,1.0482079815119505,False,False
2026-01-21_07-20-33,T2,64,2,GCfdSJqgFK6zRnKEPPReX74c,v4,1768998134.0373278,5008,True,0.8595420513302088,True,True
2026-01-21_07-20-33,T2,65,1,qLOBqmSGNoP4yZ3MtcjiqcxR,v4,1768998134.137106,5008,True,1.0118338977918029,True,True
2026-01-21_07-20-33,T2,66,1,zTdFrLD2Jc53eXOekzzDN4en,v4,1768998134.238187,5008,True,1.0172920301556587,True,True
2026-01-21_07-20-33,T2,67,1,dXC4mWfgtc7byoeBBYizWFID,v4,1768998134.3389308,5004,False,1.3528340496122837,False,False
2026-01-21_07-20-33,T2,67,2,dXC4mWfgtc7byoeBBYizWFID,v4,1768998134.3404438,5009,True,1.8563339253887534,True,True
2026-01-21_07-20-33,T2,68,1,lGHJrLVmSm8WcwjYAVCTgO0z,v4,1768998134.4403572,5008,True,1.0672078933566809,True,True
2026-01-21_07-20-33,T2,69,1,lQY3SU1V0TKx0H4OWDOqxjng,v4,1768998134.541425,5008,True,1.0422909399494529,True,True
2026-01-21_07-20-33,T2,70,1,OA9GnHuonSqzMANv7Ws1so4V,v4,1768998134.6424792,5008,True,1.0409579845145345,True,True
2026-01-21_07-20-33,T2,71,1,VFS3fG2FYCiypOOF9CoRFNKO,v4,1768998134.743587,5008,True,1.1537499958649278,True,True
2026-01-21_07-20-33,T2,72,1,2R8ipsVwVnpLt1qqKE9MoDnz,v4,1768998134.8445692,5008,True,1.0357080027461052,True,True
2026-01-21_07-20-33,T2,73,1,lRGurC0q89rBrYA1FzRejLhi,v4,1768998134.945747,5008,True,0.9748339653015137,True,True
2026-01-21_07-20-33,T2,74,1,xpNXQ8nkYlkbkHX5fC9SSgKe,v4,1768998135.046698,5006,False,1.1612080270424485,False,False
2026-01-21_07-20-33,T2,74,2,xpNXQ8nkYlkbkHX5fC9SSgKe,v4,1768998135.047987,5008,True,0.7933330489322543,True,True
2026-01-21_07-20-33,T2,75,1,WuXxbUv7VbZtygaP92kgxvvM,v4,1768998135.147862,5008,False,1.139416010119021,False,False
2026-01-21_07-20-33,T2,75,2,WuXxbUv7VbZtygaP92kgxvvM,v4,1768998135.149128,5002,False,0.8156670955941081,False,False
2026-01-21_07-20-33,T2,75,3,WuXxbUv7VbZtygaP92kgxvvM,v4,1768998135.1500108,5003,False,0.7608330342918634,False,False
2026-01-21_07-20-33,T2,75,4,WuXxbUv7VbZtygaP92kgxvvM,v4,1768998135.150819,5008,False,0.7398331072181463,False,False
2026-01-21_07-20-33,T2,75,5,WuXxbUv7VbZtygaP92kgxvvM,v4,1768998135.1516008,5008,False,0.6849999772384763,False,False
2026-01-21_07-20-33,T2,75,6,WuXxbUv7VbZtygaP92kgxvvM,v4,1768998135.1523762,5008,False,0.776458065956831,True,False
2026-01-21_07-20-33,T2,76,1,0472fvFEY7d1JpHf9rEnbxUR,v4,1768998135.2488341,5008,True,1.0994590120390058,True,True
2026-01-21_07-20-33,T2,77,1,sp7pE3326Z3MB3MrSsXDOasa,v4,1768998135.350055,5008,False,1.0578749934211373,False,False
2026-01-21_07-20-33,T2,77,2,sp7pE3326Z3MB3MrSsXDOasa,v4,1768998135.351274,5002,True,0.8965829620137811,True,True
2026-01-21_07-20-33,T2,78,1,BYBeintOQxQ1UH4L2TgCGvV5,v4,1768998135.4509592,5002,True,1.0700420243665576,True,True
2026-01-21_07-20-33,T2,79,1,JuQXbDiQbVJYDCvk559YuAqT,v4,1768998135.5520132,5009,True,1.1718330206349492,True,True
2026-01-21_07-20-33,T2,80,1,v5N47W5JhnoiTTLK84NptqCh,v4,1768998135.653034,5002,True,1.1418749345466495,True,True
