session_id,config_target,request_number,attempt_number,request_id,strategy,timestamp,server_port,success,latency_ms,request_complete,request_success
2026-01-21_07-20-33,T1,1,1,lOqY0omFi2yRukoHRBnAvYRV,v5,1768998081.054815,4008,False,2.4802919942885637,False,False
2026-01-21_07-20-33,T1,1,2,lOqY0omFi2yRukoHRBnAvYRV,v5,1768998081.0763369,4004,False,1.4765409287065268,False,False
2026-01-21_07-20-33,T1,1,3,lOqY0omFi2yRukoHRBnAvYRV,v5,1768998081.077877,4000,True,1.4731250703334808,True,True
2026-01-21_07-20-33,T1,2,1,HA2KuXBrX4DtcYqyZgbQHd7M,v5,1768998081.152728,4003,True,2.226124983280897,True,True
2026-01-21_07-20-33,T1,3,1,P1QxKNlL0QXLU0sKHANNNgdz,v5,1768998081.253827,4009,True,1.926708035171032,True,True
2026-01-21_07-20-33,T1,4,1,l2zxvsbfYxcdklWvdita2eSI,v5,1768998081.3547368,4006,True,2.0435000769793987,True,True
2026-01-21_07-20-33,T1,5,1,afk7VMCm4wbDDMRllrVxvqAa,v5,1768998081.456365,4006,True,0.9873750386759639,True,True
2026-01-21_07-20-33,T1,6,1,EqPFkZqwoEkV1nQy0SWYIcjR,v5,1768998081.5574489,4009,False,1.0123749962076545,False,False
2026-01-21_07-20-33,T1,6,2,EqPFkZqwoEkV1nQy0SWYIcjR,v5,1768998081.5585809,4005,True,1.7430420266464353,True,True
2026-01-21_07-20-33,T1,7,1,3DTKgx28lD50PdTREZx7zQs8,v5,1768998081.657824,4007,True,1.8586249789223075,True,True
2026-01-21_07-20-33,T1,8,1,waTHw8ZZz4vonktDEAphL5Jh,v5,1768998081.759223,4001,True,2.2669159807264805,True,True
2026-01-21_07-20-33,T1,9,1,IDsSHUyIyPinpSypu6eQvqyA,v5,1768998081.860071,4006,True,1.3057090109214187,True,True
2026-01-21_07-20-33,T1,10,1,Ig32KeuTZtub0BZvgvxGcHAu,v5,1768998081.961232,4007,True,1.343499985523522,True,True
