session_id,config_target,request_number,attempt_number,request_id,strategy,timestamp,server_port,success,latency_ms,request_complete,request_success
2026-01-21_07-20-33,T1,1,1,5aAxF0ftxXUpML7tGMTjayDc,v4,1768998069.4467268,4004,True,2.736833062954247,True,True
2026-01-21_07-20-33,T1,2,1,QMw3oTrESWltIkN9dC60eMDS,v4,1768998069.5440361,4000,False,1.8346670549362898,False,False
2026-01-21_07-20-33,T1,2,2,QMw3oTrESWltIkN9dC60eMDS,v4,1768998069.546001,4001,True,1.4790409477427602,True,True
2026-01-21_07-20-33,T1,3,1,GWg5cqptAtKXtTpTPHwW0Rg2,v4,1768998069.644779,4005,True,1.8454589881002903,True,True
2026-01-21_07-20-33,T1,4,1,Gl5csoxwmdJrAVDOBbArvjHF,v4,1768998069.7462132,4001,False,0.9108340600505471,False,False
2026-01-21_07-20-33,T1,4,2,Gl5csoxwmdJrAVDOBbArvjHF,v4,1768998069.7472398,4009,False,1.7497080843895674,False,False
2026-01-21_07-20-33,T1,4,3,Gl5csoxwmdJrAVDOBbArvjHF,v4,1768998069.749079,4002,True,1.5410420019179583,True,True
2026-01-21_07-20-33,T1,5,1,ue5MnWZAAGj7qdmoWyeMXiFl,v4,1768998069.8476229,4008,True,2.2345419274643064,True,True
2026-01-21_07-20-33,T1,6,1,YLv4xXzxdcVLSoN0A34cOvu8,v4,1768998069.947916,4004,False,0.958791933953762,False,False
2026-01-21_07-20-33,T1,6,2,YLv4xXzxdcVLSoN0A34cOvu8,v4,1768998069.948977,4003,False,1.7132909270003438,False,False
2026-01-21_07-20-33,T1,6,3,YLv4xXzxdcVLSoN0A34cOvu8,v4,1768998069.950745,4005,True,0.784041010774672,True,True
2026-01-21_07-20-33,T1,7,1,yFWJNcpMFsk2VkCirUEcazkM,v4,1768998070.048905,4008,True,1.0635420912876725,True,True
2026-01-21_07-20-33,T1,8,1,lS8lnxkerXLJwsSwwxbPRzs4,v4,1768998070.149878,4005,True,1.1611670488491654,True,True
2026-01-21_07-20-33,T1,9,1,KhPPGJK6KhiQs1dLbgI6Fx19,v4,1768998070.250421,4008,False,1.5931249363347888,False,False
2026-01-21_07-20-33,T1,9,2,KhPPGJK6KhiQs1dLbgI6Fx19,v4,1768998070.2521658,4005,True,1.031624968163669,True,True
2026-01-21_07-20-33,T1,10,1,X4JrQnpPQ0qtvesM2urIbV08,v4,1768998070.351294,4006,False,2.4153749691322446,False,False
2026-01-21_07-20-33,T1,10,2,X4JrQnpPQ0qtvesM2urIbV08,v4,1768998070.353825,4005,True,1.4689170056954026,True,True
2026-01-21_07-20-33,T1,11,1,JqEXbkXaXijkh7Do0jEPzFuR,v4,1768998070.452489,4008,True,1.3905840460211039,True,True
2026-01-21_07-20-33,T1,12,1,LwDyzYwqVv6zeSZhps1J15BP,v4,1768998070.554292,4005,True,2.538207918405533,True,True
2026-01-21_07-20-33,T1,13,1,lUORfyyVUsLXjb01yGozNtyD,v4,1768998070.659895,4005,True,4.660749924369156,True,True
2026-01-21_07-20-33,T1,14,1,pyhRv3MHbPsZun2mTNsiHL1H,v4,1768998070.757223,4002,False,3.399292007088661,False,False
2026-01-21_07-20-33,T1,14,2,pyhRv3MHbPsZun2mTNsiHL1H,v4,1768998070.760757,4005,True,2.8524170629680157,True,True
2026-01-21_07-20-33,T1,15,1,rgvZnz8bLDktZwOq2eQ46y8g,v4,1768998070.858121,4007,False,2.6057090144604445,False,False
2026-01-21_07-20-33,T1,15,2,rgvZnz8bLDktZwOq2eQ46y8g,v4,1768998070.8608599,4005,True,1.469957991503179,True,True
2026-01-21_07-20-33,T1,16,1,wCr8XKizJ4MI5UXhgT8gwOda,v4,1768998070.9598489,4005,True,1.4145830646157265,True,True
2026-01-21_07-20-33,T1,17,1,2IHrHvkEfAUjN4V902XEKfFU,v4,1768998071.0602171,4005,True,1.1176250409334898,True,True
2026-01-21_07-20-33,T1,18,1,0nRYcW4f2fz4dcMev5093gP1,v4,1768998071.1617799,4005,True,2.3441659286618233,True,True
2026-01-21_07-20-33,T1,19,1,5MsSPQpM2xfdgtDFRWtdqTvt,v4,1768998071.262159,4003,True,1.1139580747112632,True,True
2026-01-21_07-20-33,T1,20,1,PXCie8fylgfYgSgE7BOwzKXm,v4,1768998071.36303,4005,True,1.321790972724557,True,True
2026-01-21_07-20-33,T1,21,1,0dJUfXtnmG5Di1cXqyBHYrfs,v4,1768998071.4639318,4005,True,1.6084579983726144,True,True
2026-01-21_07-20-33,T1,22,1,pphDuDWDylVyKsuNVmtxMZIK,v4,1768998071.5651042,4005,True,1.922791008837521,True,True
2026-01-21_07-20-33,T1,23,1,lROh9eHUVlPF9rcsl1aDpX7v,v4,1768998071.6655822,4005,True,1.1017919750884175,True,True
2026-01-21_07-20-33,T1,24,1,xQrT2E4oJyKKfSrmyKN1ADLq,v4,1768998071.766489,4005,True,1.1066669831052423,True,True
2026-01-21_07-20-33,T1,25,1,qyIAFSnxMt6NUI47NwnHxH8U,v4,1768998071.867599,4005,True,1.076792017556727,True,True
2026-01-21_07-20-33,T1,26,1,mwomL9De3DN6dqzFH01MrZgm,v4,1768998071.9686358,4005,True,1.0027089156210423,True,True
2026-01-21_07-20-33,T1,27,1,Ahtk2bobrIFGYzUg6UVEqWB2,v4,1768998072.0697558,4005,True,1.2641659704968333,True,True
2026-01-21_07-20-33,T1,28,1,3jlFYmu7mDBvUqfcic9hYgpC,v4,1768998072.1707242,4005,True,1.4638330321758986,True,True
2026-01-21_07-20-33,T1,29,1,LzbDVlKMrPK8bhOJhNBrWwM6,v4,1768998072.271785,4005,True,1.1424999684095383,True,True
2026-01-21_07-20-33,T1,30,1,P9EgTMvupbEYOoYbFdPOTgS8,v4,1768998072.3727958,4005,True,1.035958994179964,True,True
2026-01-21_07-20-33,T1,31,1,hEHwrxbrutTC81McF1k9kbOx,v4,1768998072.473821,4005,True,1.178500009700656,True,True
2026-01-21_07-20-33,T1,32,1,NEgyqand49ECCf3hk9pynaBM,v4,1768998072.575244,4005,True,1.429333002306521,True,True
2026-01-21_07-20-33,T1,33,1,qllCTHKLoxzD1qLpFg1i25zP,v4,1768998072.685406,4005,False,5.097124958410859,False,False
2026-01-21_07-20-33,T1,33,2,qllCTHKLoxzD1qLpFg1i25zP,v4,1768998072.691673,4009,True,3.140167100355029,True,True
2026-01-21_07-20-33,T1,34,1,2dUebMgNlgh0Jgq40FhZFcMU,v4,1768998072.780561,4005,True,1.512250048108399,True,True
